first_year,last_year,first_value,last_value,variation_%
2017,2021,96,123,28.125
2017,2021,4,2,-50.0
2017,2021,3,2,-33.33333333333333
2017,2021,118,136,15.254237288135593
2017,2021,1,0,-100.0
2017,2021,15,18,20.0
2017,2021,14,16,14.285714285714285
2017,2021,2,1,-50.0
2017,2021,0,0,
2017,2021,1,0,-100.0
2017,2021,0,0,
2017,2021,38,35,-7.894736842105263
2017,2021,8,8,0.0
2017,2021,4,3,-25.0
2017,2021,8,6,-25.0
2017,2021,0,0,
2017,2021,4,6,50.0
2017,2021,18,20,11.11111111111111
2017,2021,2,1,-50.0
2017,2021,14,13,-7.142857142857142
2017,2021,1,0,-100.0
2017,2021,45,49,8.88888888888889
2017,2021,105,100,-4.761904761904762
2017,2021,0,0,
2017,2021,18,24,33.33333333333333
2017,2021,267,261,-2.247191011235955
2017,2021,9,9,0.0
2017,2021,19,20,5.263157894736842
2017,2021,6,5,-16.666666666666664
2017,2021,3,1,-66.66666666666666
2017,2021,1,1,0.0
