munic_cp,munic_name
38001,Adeje
38004,Arafo
38005,Arico
38006,Arona
38010,Buenavista del Norte
38011,Candelaria
38032,El Rosario
38041,El Sauzal
38044,El Tanque
38012,Fasnia
38015,Garachico
38017,Granadilla de Abona
38019,Guía de Isora
38020,Güimar
38022,Icod de los Vinos
38018,La Guancha
38023,La Laguna
38025,La Matanza
38026,La Orotava
38051,La Victoria
38031,Los Realejos
38042,Los Silos
38028,Puerto de la Cruz
38034,San Juan de la Rambla
38035,San Miguel
38038,Santa Cruz de Tenerife
38039,Santa Úrsula
38040,Santiago del Teide
38043,Tacoronte
38046,Tegueste
38052,Vilaflor
